"";"lm1";"l0";"l1";"a";"l_stop"
"272";-5844,7756706502;-5844,77557375748;-5844,77547770975;0,991279046328191;-5844,76456031414
"273";-5844,77557375748;-5844,77547770975;-5844,77538247559;0,991529558637495;-5844,76423459284
"274";-5844,77547770975;-5844,77538247559;-5844,7752880248;0,991774164773354;-5844,76390026383
"275";-5844,77538247559;-5844,7752880248;-5844,77519432844;0,992012564923975;-5844,76355755544
"276";-5844,7752880248;-5844,77519432844;-5844,77510135869;0,992245019037036;-5844,7632059368
"277";-5844,77519432844;-5844,77510135869;-5844,77500908885;0,992471678119594;-5844,76284499609
"278";-5844,77510135869;-5844,77500908885;-5844,77491749327;0,992692448475391;-5844,76247471591
"279";-5844,77500908885;-5844,77491749327;-5844,77482654734;0,99290751508377;-5844,76209463401
"280";-5844,77491749327;-5844,77482654734;-5844,77473622739;0,993116912523221;-5844,76170453671
"281";-5844,77482654734;-5844,77473622739;-5844,77464651071;0,99332076849689;-5844,76130404149
"282";-5844,77473622739;-5844,77464651071;-5844,77455737547;0,993519184621404;-5844,76089280276
"283";-5844,77464651071;-5844,77455737547;-5844,77446880069;0,99371222363785;-5844,76047055456
"284";-5844,77455737547;-5844,77446880069;-5844,77438076623;0,993899855219789;-5844,76003726444
"285";-5844,77446880069;-5844,77438076623;-5844,77429325271;0,994082550598501;-5844,75959170508
"286";-5844,77438076623;-5844,77429325271;-5844,77420624153;0,994259782265897;-5844,75913508652
"287";-5844,77429325271;-5844,77420624153;-5844,77411971478;0,994432683969919;-5844,75866432596
"288";-5844,77420624153;-5844,77411971478;-5844,77403365527;0,994599923684931;-5844,7581829947
"289";-5844,77411971478;-5844,77403365527;-5844,77394804646;0,994763019888965;-5844,75768667459
"290";-5844,77403365527;-5844,77394804646;-5844,77386287245;0,994921122470775;-5844,75717780234
"291";-5844,77394804646;-5844,77386287245;-5844,77377811793;0,995074769016376;-5844,75665464108
"292";-5844,77386287245;-5844,77377811793;-5844,77369376821;0,995223931637799;-5844,75611720637
"293";-5844,77377811793;-5844,77369376821;-5844,77360980912;0,995368872162134;-5844,75556447238
"294";-5844,77369376821;-5844,77360980912;-5844,77352622707;0,995509337306093;-5844,75499739925
"295";-5844,77360980912;-5844,77352622707;-5844,77344300894;0,995645936518809;-5844,75441347562
